         SolutionId            SourceId          Description
8022076041857990769 3851901978733009024 SDSSJ093116.70+044549.2
8022076041857990769 1352498979765854592 SDSSJ164527.36+381759.9
8022076041857990769 2500289097965823104 SDSSJ023402.03+000623.7
8022076041857990769 921400845840512640 SDSSJ080049.04+404332.6
8022076041857990769 657096980874416768 SDSSJ081526.86+180122.8
8022076041857990769 716791558796291456 2MASSJ08575932+3521291
8022076041857990769 925725259431732352 SDSSJ075105.11+432754.9
8022076041857990769 1010870993211792000 SDSSJ085401.84+463632.1
8022076041857990769 1389935465200776960 SDSSJ154034.42+403814.2
8022076041857990769 1566288020671255040 SDSSJ131851.31+570108.9
8022076041857990769 835615131869958784 2MASSJ10512098+4943385
8022076041857990769 751994210265911936 SDSSJ104120.25+374850.0
8022076041857990769 842514013282695552 SDSSJ110701.64+524917.6
8022076041857990769 3898841637656684288 2MASSJ12015958+0735545
8022076041857990769 3745500688032129152 SDSSJ133858.08+165135.2
8022076041857990769 4034666782937412480 2MASSJ11593415+3848133
8022076041857990769 654852220513270912 SDSSJ080649.24+150939.7
8022076041857990769 1059277920336034176 SDSSJ105743.48+663457.3
8022076041857990769 4415476038147296256 SDSSJ152536.24-005701.2
8022076041857990769 1024963094441924096 SDSSJ092750.75+560705.4
8022076041857990769 1393220389337001984 2MASSJ15063457+4240287
8022076041857990769 929745146957028608 SDSSJ080723.24+462501.0
8022076041857990769 590159159653260416 SDSSJ091647.80+082240.4
8022076041857990769 3813568326169971328 SDSSJ112306.54+041732.3
8022076041857990769 1545806867824701184 SDSSJ121504.61+490141.8
8022076041857990769 695838440583357696 SDSSJ093313.38+274802.2
8022076041857990769 924460855420179456 SDSSJ073409.33+410255.8
8022076041857990769 932484339660411904 SDSSJ075915.68+464159.9
8022076041857990769 675603303463376000 SDSSJ081628.30+201257.9
8022076041857990769 775351582450907392 SDSSJ110124.42+382707.5
8022076041857990769 4565433824856064384 2MASSJ16595458+2243092
8022076041857990769 595791403671580160 SDSSJ083621.96+071023.9
8022076041857990769 3852726745597748608 2MASSJ09353872+0624158
8022076041857990769 3861127534125000064 SDSSJ101033.10+051226.6
8022076041857990769 1420613037912714752 SDSSJ171551.94+551940.9
8022076041857990769 4003538887200398336 SDSSJ120840.18+261725.7
8022076041857990769 708513610630639616 SDSSJ081841.70+295007.7
8022076041857990769 808870881618758784 SDSSJ101311.89+442022.1
8022076041857990769 3251640197007721344 SDSSJ040836.11-041818.1
8022076041857990769 880786466857410048 SDSSJ075203.32+312751.0
8022076041857990769 1050390464769368704 SDSSJ100657.42+612148.7
8022076041857990769 1039279143856483584 2MASSJ09072088+5930209
8022076041857990769 1243772879100664192 SDSSJ135916.83+164827.8
8022076041857990769 669304682384549248 SDSSJ080207.57+185357.0
8022076041857990769 806486354430551040 2MASSJ09535521+4017561
8022076041857990769 2435651184485473024 SDSSJ234242.37-093244.4
8022076041857990769 5176041388227529088 SDSSJ022331.69-090531.5
8022076041857990769 819282019782574208 SDSSJ093015.24+463422.0
8022076041857990769 3843283040227133824 2MASSJ09101078+0019018
8022076041857990769 2471785461606461312 SDSSJ011406.28-091515.8
8022076041857990769 673550721415214976 SDSSJ075602.61+210813.3
8022076041857990769 922597629887356160 SDSSJ075830.93+424556.2
8022076041857990769 909454308407090432 SDSSJ081209.79+394805.9
8022076041857990769 1511318177358229376 SDSSJ140143.60+494003.2
